TSP Name,TSP,Location,Location_Name,Location_Zone,Loc_Purp,All_Qty_Avail,Loc/QTI,Flow_Ind,IT,Design_Capacity,Operational_Capacity,TSQ,OAC,Eff_Gas_Day/Time,CycleDesc,Posting_Date/Time,Measurement_Basis,Pressure_Base
Cadeville Gas Storage LLC,831056168,AGS4,AGS PennTex,,SB,Y,STQ,BD,N,200000,200000,0,200000,08/25/2022 09:00:00 AM,Evening,08/24/2022 09:05:00 PM,Million BTUs (DTH),14.73 psia
Cadeville Gas Storage LLC,831056168,AGS3,AGS Regency,,SB,Y,STQ,BD,N,90000,90000,0,90000,08/25/2022 09:00:00 AM,Evening,08/24/2022 09:05:00 PM,Million BTUs (DTH),14.73 psia
Cadeville Gas Storage LLC,831056168,AGS1,AGS EGT Line CP,,SB,Y,STQ,BD,N,500000,500000,0,500000,08/25/2022 09:00:00 AM,Evening,08/24/2022 09:05:00 PM,Million BTUs (DTH),14.73 psia
Cadeville Gas Storage LLC,831056168,810067/66,EGT Line CP,,SB,Y,STQ,BD,N,250000,250000,-15000,235000,08/25/2022 09:00:00 AM,Evening,08/24/2022 09:05:00 PM,Million BTUs (DTH),14.73 psia
Cadeville Gas Storage LLC,831056168,AGS EGT Line F,AGS EGT Line F,,SB,Y,STQ,BD,N,250000,250000,0,250000,08/25/2022 09:00:00 AM,Evening,08/24/2022 09:05:00 PM,Million BTUs (DTH),14.73 psia
Cadeville Gas Storage LLC,831056168,PGS1,PGS EGT Header,,SB,Y,STQ,BD,N,600000,600000,0,600000,08/25/2022 09:00:00 AM,Evening,08/24/2022 09:05:00 PM,Million BTUs (DTH),14.73 psia
Cadeville Gas Storage LLC,831056168,AGS2,AGS Tiger,,SB,Y,STQ,BD,N,250000,250000,0,250000,08/25/2022 09:00:00 AM,Evening,08/24/2022 09:05:00 PM,Million BTUs (DTH),14.73 psia
Cadeville Gas Storage LLC,831056168,79039,ETC Tiger Pipeline,,SB,Y,STQ,BD,N,250000,250000,-55388,194612,08/25/2022 09:00:00 AM,Evening,08/24/2022 09:05:00 PM,Million BTUs (DTH),14.73 psia
Cadeville Gas Storage LLC,831056168,AGS5,AGS Gulf South,,SB,Y,STQ,BD,N,250000,250000,0,250000,08/25/2022 09:00:00 AM,Evening,08/24/2022 09:05:00 PM,Million BTUs (DTH),14.73 psia
Cadeville Gas Storage LLC,831056168,810067/66,EGT Line CP,,SB,Y,STQ,BD,N,250000,250000,-15000,235000,08/25/2022 09:00:00 AM,Timely,08/24/2022 05:05:00 PM,Million BTUs (DTH),14.73 psia
Cadeville Gas Storage LLC,831056168,AGS EGT Line F,AGS EGT Line F,,SB,Y,STQ,BD,N,250000,250000,0,250000,08/25/2022 09:00:00 AM,Timely,08/24/2022 05:05:00 PM,Million BTUs (DTH),14.73 psia
Cadeville Gas Storage LLC,831056168,PGS1,PGS EGT Header,,SB,Y,STQ,BD,N,600000,600000,0,600000,08/25/2022 09:00:00 AM,Timely,08/24/2022 05:05:00 PM,Million BTUs (DTH),14.73 psia
Cadeville Gas Storage LLC,831056168,AGS2,AGS Tiger,,SB,Y,STQ,BD,N,250000,250000,0,250000,08/25/2022 09:00:00 AM,Timely,08/24/2022 05:05:00 PM,Million BTUs (DTH),14.73 psia
Cadeville Gas Storage LLC,831056168,79039,ETC Tiger Pipeline,,SB,Y,STQ,BD,N,250000,250000,-55388,194612,08/25/2022 09:00:00 AM,Timely,08/24/2022 05:05:00 PM,Million BTUs (DTH),14.73 psia
Cadeville Gas Storage LLC,831056168,AGS5,AGS Gulf South,,SB,Y,STQ,BD,N,250000,250000,0,250000,08/25/2022 09:00:00 AM,Timely,08/24/2022 05:05:00 PM,Million BTUs (DTH),14.73 psia
Cadeville Gas Storage LLC,831056168,AGS4,AGS PennTex,,SB,Y,STQ,BD,N,200000,200000,0,200000,08/25/2022 09:00:00 AM,Timely,08/24/2022 05:05:00 PM,Million BTUs (DTH),14.73 psia
Cadeville Gas Storage LLC,831056168,AGS3,AGS Regency,,SB,Y,STQ,BD,N,90000,90000,0,90000,08/25/2022 09:00:00 AM,Timely,08/24/2022 05:05:00 PM,Million BTUs (DTH),14.73 psia
Cadeville Gas Storage LLC,831056168,AGS1,AGS EGT Line CP,,SB,Y,STQ,BD,N,500000,500000,0,500000,08/25/2022 09:00:00 AM,Timely,08/24/2022 05:05:00 PM,Million BTUs (DTH),14.73 psia
