TSP Name,TSP,Location,Location_Name,Location_Zone,Loc_Purp,All_Qty_Avail,Loc/QTI,Flow_Ind,IT,Design_Capacity,Operational_Capacity,TSQ,OAC,Eff_Gas_Day/Time,CycleDesc,Posting_Date/Time,Measurement_Basis,Pressure_Base
Kinetica Partners LLC,17960426,24027,024027-T-TARGA SEAHAWK DELIVERY,1.0,MQ,Y,RDQ,D,N,68507,68507,0,68507,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12650,012650-T-Discovery,1.0,M2,Y,RDQ,R,N,250000,250000,0,250000,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11182,011182-T-SS 182 C,1.0,M2,Y,RDQ,R,N,29493,29493,520,28973,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14015,014015-T-SMI 58G Dehy,1.0,M2,Y,RDQ,R,Y,87724,87724,8599,79125,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24025,024025-T-SS 169C BUYBACK RIP 523M-2911,1.0,MQ,Y,RDQ,D,N,4500,4500,0,4500,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12584,012584-T-WCAM BLK 18 ,1.0,M2,Y,RDQ,R,Y,200874,200874,6355,194519,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11069,011069-T-EI 257 D 1,1.0,M2,Y,RDQ,R,N,59082,59082,1,59081,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14012,014012-T-SS 193A RIP 523M-2911,1.0,M2,Y,RDQ,R,Y,4500,4500,2,4498,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24023,024023-T-SS 182C #2 BUYBACK RIP 523M-2911,1.0,MQ,Y,RDQ,D,Y,4500,4500,1,4499,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12516,012516-T-VENICE INTERCONNECT,1.0,M2,Y,RDQ,R,N,372243,200000,0,200000,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10839,010839-T-GI BLK 43 DEHY,1.0,M2,Y,RDQ,R,Y,474578,474578,1900,472678,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14007,014007-T-SMI 71:RIP 523M-135,1.0,M2,Y,RDQ,R,Y,21307,21307,1250,20057,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24016,024016-T-EGAN GAP ARROWHEAD,1.0,MQ,Y,RDQ,D,N,51071,150000,0,150000,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12435,012435-T-S M I 76 P,1.0,M2,Y,RDQ,R,N,362317,362317,0,362317,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10668,010668-T-GI BLK 47 DEHY,1.0,M2,Y,RDQ,R,Y,63518,63518,1152,62366,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14005,014005-T-South Lake Arthur,1.0,M2,Y,RDQ,R,Y,5200,5200,114,5086,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24005,024005-T-Egan A CGT,1.0,MQ,Y,RDQ,D,N,50000,50000,0,50000,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12374,012374-T-GRAND ISLE DEHY 1,1.0,M2,Y,RDQ,R,N,181699,181699,1,181698,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10641,010641-T-LAPEYROUSE PLANT DEHY,1.0,M2,Y,RDQ,R,Y,39510,39510,1,39509,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12881,012881-T-VR 229A,1.0,M2,Y,RDQ,R,Y,75000,75000,7650,67350,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,21032,021032-T-Discovery,1.0,MQ,Y,RDQ,D,Y,290000,289452,5661,283791,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12289,012289-T-SS 45,1.0,M2,Y,RDQ,R,Y,29616,29616,1,29615,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10578,010578-T-WC BLK 20 DEHY,1.0,M2,Y,RDQ,R,Y,100283,100283,250,100033,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12838,012838-T-E I 224 G: RIP 523M 8101,1.0,M2,Y,RDQ,R,Y,44485,44485,2500,41985,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,20554,020554-T-LIRETTE TPORT,1.0,MQ,Y,RDQ,D,Y,97593,81000,30795,50205,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11802,011802-T-SS 198 J,1.0,M2,Y,RDQ,R,Y,109110,109110,3,109107,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10442,010442-T-TIMBALIER BAY DEHY,1.0,M2,Y,RDQ,R,Y,64530,64530,300,64230,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12812,012812-T-LONGHORN MEDUSA SP 55A: RIP 527A 2001,1.0,M2,Y,RDQ,R,Y,223450,223450,3113,220337,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11691,011691-T-SS 181 B,1.0,M2,Y,RDQ,R,N,61657,61657,1,61656,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,18036,018036-T-SMI 99,1.0,M2,Y,RDQ,R,N,92192,92192,2948,89244,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,50130,050130-T-PORT SULPHUR FLASH DEL,1.0,MQ,Y,RDQ,D,N,2000,2000,0,2000,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10210,010210-T-GRAND CHENIER DEHY,1.0,M2,Y,RDQ,R,Y,25828,25828,50,25778,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12714,012714-T-LAKE WASHINGTON SL 212,1.0,M2,Y,RDQ,R,Y,48565,48565,1725,46840,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11210,011210-T-SMI  27 A,1.0,M2,Y,RDQ,R,Y,35821,35821,7100,28721,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14017,014017-T-VR 78,1.0,M2,Y,RDQ,R,Y,6000,6000,4850,1150,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24026,024026-T-HARVEST WHITE LAKE,1.0,MQ,Y,RDQ,D,Y,52459,52459,41135,11324,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12644,012644-T-SS BLK 110 A,1.0,M2,Y,RDQ,R,Y,31993,31993,4597,27396,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11180,011180-T-SS 198 H,1.0,M2,Y,RDQ,R,Y,173474,173474,200,173274,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14013,014013-T-SS 169C RIP 523M-2911,1.0,M2,Y,RDQ,R,N,4500,4500,0,4500,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24024,024024-T-SS 193A BUYBACK RIP 523M-2911,1.0,MQ,Y,RDQ,D,Y,4500,4500,1,4499,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12559,012559-T-W CAM BLK 167 DEEP WATER LINK,1.0,M2,Y,RDQ,R,Y,400000,95000,30199,64801,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10932,010932-T-SS  154 E,1.0,M2,Y,RDQ,R,N,72204,72204,0,72204,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14011,014011-T-SS 182C #2 RIP 523M-2911,1.0,M2,Y,RDQ,R,Y,4500,4500,1601,2899,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24020,024020-T-SP 24 Buyback,1.0,MQ,Y,RDQ,D,Y,2500,2500,400,2100,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12438,012438-T-SNOW WELL,1.0,M2,Y,RDQ,R,Y,21000,21000,75,20925,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10688,010688-T-LAKE RACCOURCI DEHY,1.0,M2,Y,RDQ,R,Y,39193,39193,1,39192,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14006,014006-T- Miami Corp,1.0,M2,Y,RDQ,R,Y,18000,18000,900,17100,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24012,024012-T- ENLINK LIG GUEYDAN,1.0,MQ,Y,RDQ,D,Y,89422,55000,8000,47000,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12428,012428-T-S M I 72,1.0,M2,Y,RDQ,R,Y,38527,38527,651,37876,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10665,010665-T-W D BLK DEHY 2,1.0,M2,Y,RDQ,R,N,141601,141601,7000,134601,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14003,014003-T-Hilcorp Homeplace,1.0,M2,Y,RDQ,R,Y,4709,4709,175,4534,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24004,024004-T-SABINE-SW LATERAL,1.0,MQ,Y,RDQ,D,Y,300000,300000,1000,299000,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12308,012308-T-S TIM BLK 23,1.0,M2,Y,RDQ,R,Y,61456,61456,2500,58956,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,10599,010599-T-MECOM LAKE WASHINGTON DEHY,1.0,M2,Y,RDQ,R,Y,24901,24901,4875,20026,08/30/2022 09:00:00 AM,Evening,08/29/2022 08:35:48 PM,Million BTUs (DTH),14.73 psia
